Phenotype ID: 17621
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17621&dataset=BXDPublish
Group: BXD
"Phenotype: Respiratory system"","" metabolism: Oxygen intake (VO2) over 24 hours at 16 weeks of age"","" metabolic cage"","" chow diet (6% kCal/fat Harlan.2918)"","" males [mL/kg/h] (EPFL LISP3 Cohort)"
"Authors: Pirinen E, Canto C, Jo YS, Morato L, Zhang H, Menzies KJ, Williams EG, Mouchiroud L, Moullan N, Hagberg C, Li W, Timmers S, Imhof R, Verbeek J, Pujol A, van Loon B, Viscomi C, Zeviani M, Schrauwen P, Sauve AA, Schoonjans K, Auwerx J."
Title: Pharmacological inhibition of poly(ADP-ribose) polymerases improves fitness and mitochondrial function in skeletal muscle
Journal: Cell Metabolism
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
BXD48,1985,34,4
BXD49,2149,57,4
BXD85,2251,73,5
BXD65b,2328,55,4
BXD69,2358,93,4
BXD66,2364,120.748,5
BXD71,2450,65,5
BXD39,2466,92,5
BXD44,2521,100.623,5
BXD84,2528,45,5
BXD65,2529,137,4
BXD73a,2543,84.971,5
BXD73b,2554,39,4
BXD64,2584,65,4
BXD48a,2598,120.748,5
BXD77,2618,54,5
BXD75,2639,120.748,5
BXD68,2699,154,5
BXD63,2738,51,4
BXD65a,2746,88,5
BXD62,2751,30,4
BXD50,2762,123,5
BXD32,2790,73,5
BXD95,2792,169,4
BXD89,2800,169,4
BXD70,2809,116,4
BXD98,2817,124,5
BXD99,2852,49,5
BXD100,2854,109.119,3
BXD60,2920,184,5
BXD43,2943,167,4
BXD79,2947,138,5
C57BL/6J,3000,136,4
BXD73,3072,156.525,5
BXD81,3076,110,4
BXD61,3088,117.779,3
BXD40,3091,177,3
BXD101,3102,79,4
BXD53,3135,105,5
BXD55,3160,147.58,5
BXD83,3160,131.636,3
BXD45,3163,134,4
BXD56,3181,91,5
BXD51,3263,146,4
BXD90,3413,124,4
DBA/2J,3466,88,4
BXD87,3705,138,4
