chr	rs	ps	n_miss	alpha	beta	gamma
1	rs31443144	3010274	0	-1.189739e-05	-1.403827e-03	2.900000e-03
1	rs6269442	3492195	0	-1.189739e-05	-2.119683e-03	3.300000e-03
1	rs32285189	3511204	0	-9.593263e-06	-9.976900e-04	3.200000e-03
1	rs258367496	3659804	0	-9.593263e-06	-6.563198e-05	1.500000e-03
1	rs32430919	3777023	0	-1.189739e-05	-4.369915e-04	2.900000e-03
1	rs36251697	3812265	0	-9.593263e-06	-8.779305e-04	2.600000e-03
1	rs30658298	4430623	0	-1.189739e-05	-1.591139e-03	2.500000e-03
1	rs51852623	4446737	0	-1.189739e-05	8.459241e-04	2.400000e-03
1	rs31879829	4518714	0	-9.593263e-06	-4.023780e-04	3.500000e-03
1	rs36742481	4776319	0	-9.593263e-06	-1.603484e-03	1.500000e-03
1	rs6365999	4820983	0	-1.189739e-05	-2.217396e-03	1.900000e-03
1	rs13470446	4846561	0	-9.593263e-06	-3.943730e-04	4.300000e-03
1	Affy_10344635	4878037	0	-1.338758e-05	1.547805e-04	2.000000e-03
1	rs6376963	5018010	0	-1.338758e-05	-2.910257e-03	2.700000e-03
1	rs30847416	5025197	0	-2.996429e-06	-2.072246e-04	1.800000e-03
1	rs32759286	5028801	0	-2.996429e-06	5.980076e-04	2.200000e-03
1	rs31625087	5119671	0	-6.923046e-07	5.305237e-04	2.700000e-03
1	rs31716357	5155818	0	-6.923046e-07	1.022614e-03	2.300000e-03
1	rs3677817	5185979	0	-2.996429e-06	2.651005e-03	3.300000e-03
1	rs47937185	5316776	0	-2.996429e-06	4.561950e-05	1.600000e-03
1	rs32140280	5641533	0	-2.996429e-06	-1.530498e-04	4.200000e-03
1	rs32096391	6097778	0	-2.996429e-06	-1.448304e-03	2.600000e-03
1	rs47493511	6357478	0	-2.279435e-06	-8.409505e-04	2.100000e-03
1	rs31190522	6747440	0	-2.279435e-06	-1.769014e-03	1.900000e-03
1	rs6298633	6830161	0	-2.279435e-06	-2.437553e-03	2.900000e-03
1	rs31362910	9843988	0	-2.279435e-06	6.177924e-04	2.600000e-03
1	rs31878990	10098253	0	-2.279435e-06	3.085016e-04	5.300000e-03
1	rs32186775	10162992	0	-2.279435e-06	1.159814e-04	1.300000e-03
1	rs31868650	10809088	0	-2.279435e-06	-1.512503e-03	4.200000e-03
1	rs6360236	11083825	0	-2.279435e-06	-6.223352e-04	3.100000e-03
1	rs32740138	11416077	0	-2.279435e-06	-1.608334e-03	2.500000e-03
1	rs249962268_D1Mit1	11515522	0	-2.812148e-06	-3.184780e-04	4.200000e-03
1	rs30991578	11793253	0	-2.812148e-06	-5.223853e-04	3.000000e-03
1	rs32347261	12740981	0	-2.812148e-06	1.286382e-03	2.300000e-03
1	rs36585555	12938444	0	3.912493e-06	-3.057716e-04	2.000000e-03
1	rs30477285	12994801	0	-8.111995e-06	-1.563613e-03	2.800000e-03
1	rs32223513	13055719	0	-8.828989e-06	-1.569465e-03	3.200000e-03
1	rs45688852	13073341	0	-8.828989e-06	-7.073902e-04	1.600000e-03
1	rs48988706	13842623	0	-8.828989e-06	-1.813261e-03	2.100000e-03
1	rs31710291	13855369	0	-8.828989e-06	-2.621836e-03	3.600000e-03
1	rs31794283	13860415	0	-8.828989e-06	-4.256865e-04	1.900000e-03
1	rs6296049	13890559	0	-8.828989e-06	1.148462e-05	2.800000e-03
