# Analysis Version : 1.1
# Analysis Group Name : Default Analysis Group
# Description : Including all applicable data files.
# Created By :bridgeslab@umich.edu
# Last Modified Date : 2024-01-15 05:44:39 PM
# Number of Experiments in Analysis Group : 2
# List of instrument types in the study that are imported : QuantStudio 5 System
# Normalization method : Endogenous Control = Rplp0
# Reference Sample : 1739
# Reference Group : 
# Max CT : 40.0
# Confidence Level : 95.0
# Statistical Test:T-test

"Experiment Name","Barcode","Well","Biological Group Name","Sample Name","Target Name","Task","Amp Score","Amp Status","Cq Conf","Target Efficiency","Cq","Cq (Post IC)","Eq. Cq","Quantity","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline Stop","Tm1","Tm2","Tm3","Cq Mean","Cq SE","Intercept","R-Squared","Slope","Efficiency","Omit","FLAGS","AMPNC","AMPSCORE","BADROX","OFFSCALE","NOAMP","NOISE","SPIKE","NOSIGNAL","NOSAMPLE","EXPFAIL","BLFAIL","THOLDFAIL","CTFAIL","HIGHSD","OUTLIERRG","MAXCT","MPOUTLIER","MTP or TM","LOWROX","PRFLOW","PRFDROP","DRNMIN","CQCONF",
"2024-01-15 Slc16a1.eds","","A1","","1753","Rplp0","UNKNOWN","1.6477382","Amp","0.9798657","100.0","24.348892","24.348892","24.348892","-","true","0.72670037","true","3.0","17.0","84.12804","-","-","24.486946","0.08158256","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A2","","4098","Rplp0","UNKNOWN","1.6172295","Amp","0.93759245","100.0","19.015915","19.015915","19.015915","-","true","0.72670037","true","3.0","11.0","83.903595","88.168045","-","19.00725","0.01045996","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A3","","1746","Rplp0","UNKNOWN","1.6382574","Amp","0.97045135","100.0","22.447735","22.447735","22.447735","-","true","0.72670037","true","3.0","16.0","84.015816","-","-","22.568567","0.073564045","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A4","","4093","Rplp0","UNKNOWN","1.634679","Amp","0.98774636","100.0","23.76375","23.76375","23.76375","-","true","0.72670037","true","3.0","16.0","83.903595","-","-","23.726309","0.028562116","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A5","","4104","Rplp0","UNKNOWN","1.6259807","Amp","0.982823","100.0","23.08927","23.08927","23.08927","-","true","0.72670037","true","3.0","16.0","83.937904","-","-","22.846275","0.09536093","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A6","","4108","Rplp0","UNKNOWN","1.6298896","Amp","0.979697","100.0","22.722092","22.722092","22.722092","-","true","0.72670037","true","3.0","17.0","83.937904","-","-","23.224176","0.32871234","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A7","","1753","Rplp0","UNKNOWN","1.6282576","Amp","0.98857033","100.0","24.631292","24.631292","24.631292","-","true","0.72670037","true","3.0","17.0","83.825516","-","-","24.486946","0.08158256","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A8","","4098","Rplp0","UNKNOWN","1.6163636","Amp","0.9507318","100.0","19.019407","19.019407","19.019407","-","true","0.72670037","true","3.0","11.0","83.937904","-","-","19.00725","0.01045996","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A9","","1746","Rplp0","UNKNOWN","1.6221511","Amp","0.97601414","100.0","22.70168","22.70168","22.70168","-","true","0.72670037","true","3.0","15.0","83.811646","-","-","22.568567","0.073564045","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A10","","4093","Rplp0","UNKNOWN","1.6327757","Amp","0.9883005","100.0","23.670225","23.670225","23.670225","-","true","0.72670037","true","3.0","15.0","83.923965","-","-","23.726309","0.028562116","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A11","","4104","Rplp0","UNKNOWN","1.6279005","Amp","0.9845537","100.0","23.100567","23.100567","23.100567","-","true","0.72670037","true","3.0","15.0","83.923965","-","-","22.846275","0.09536093","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A12","","4108","Rplp0","UNKNOWN","1.627798","Amp","0.9796155","100.0","22.715044","22.715044","22.715044","-","true","0.72670037","true","3.0","16.0","83.923965","-","-","23.224176","0.32871234","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A13","","1753","Rplp0","UNKNOWN","1.6309588","Amp","0.98777366","100.0","24.480656","24.480656","24.480656","-","true","0.72670037","true","3.0","17.0","83.77818","-","-","24.486946","0.08158256","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A14","","4098","Rplp0","UNKNOWN","1.6183944","Amp","0.980504","100.0","18.986427","18.986427","18.986427","-","true","0.72670037","true","3.0","11.0","83.89034","-","-","19.00725","0.01045996","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A15","","1746","Rplp0","UNKNOWN","1.6344396","Amp","0.97613364","100.0","22.55629","22.55629","22.55629","-","true","0.72670037","true","3.0","14.0","84.0025","-","-","22.568567","0.073564045","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A16","","4093","Rplp0","UNKNOWN","1.6354003","Amp","0.98107857","100.0","23.744951","23.744951","23.744951","-","true","0.72670037","true","3.0","16.0","84.0025","-","-","23.726309","0.028562116","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A17","","4104","Rplp0","UNKNOWN","1.6843551","Amp","0.9861901","100.0","22.483889","22.483889","22.483889","-","true","0.72670037","true","3.0","15.0","84.62512","-","-","22.846275","0.09536093","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A18","","4108","Rplp0","UNKNOWN","1.6839657","Amp","0.96763796","100.0","22.11735","22.11735","22.11735","-","true","0.72670037","true","3.0","15.0","84.62512","-","-","23.224176","0.32871234","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A19","","No Sample","Rplp0","UNKNOWN","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.72670037","true","3.0","39.0","83.61772","87.98314","80.483574","-","-","-","-","-","-","false","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0",
"2024-01-15 Slc16a1.eds","","A20","","No Sample","Rplp0","UNKNOWN","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.72670037","true","3.0","39.0","76.565895","90.33374","65.14865","-","-","-","-","-","-","false","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0",
"2024-01-15 Slc16a1.eds","","A21","","No Sample","Rplp0","UNKNOWN","0.0","Inconclusive","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.72670037","true","3.0","39.0","83.89933","76.86354","87.026344","-","-","-","-","-","-","false","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0",
"2024-01-15 Slc16a1.eds","","A22","","No Sample","Rplp0","UNKNOWN","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.72670037","true","3.0","39.0","80.54896","75.63507","72.39638","-","-","-","-","-","-","false","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0",
"2024-01-15 Slc16a1.eds","","A23","","No Sample","Rplp0","UNKNOWN","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.72670037","true","3.0","39.0","69.49272","78.53873","90.26504","-","-","-","-","-","-","false","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0",
"2024-01-15 Slc16a1.eds","","A24","","No Sample","Rplp0","UNKNOWN","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.72670037","true","3.0","39.0","72.39638","64.69052","77.19858","-","-","-","-","-","-","false","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0",
"2024-01-15 Slc16a1.eds","","B1","","4100","Rplp0","UNKNOWN","1.6305003","Amp","0.94215816","100.0","20.975828","20.975828","20.975828","-","true","0.72670037","true","3.0","15.0","84.015816","-","-","21.098797","0.091138855","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B2","","1740","Rplp0","UNKNOWN","1.633606","Amp","0.96346456","100.0","22.256153","22.256153","22.256153","-","true","0.72670037","true","3.0","15.0","83.903595","-","-","22.243856","0.029152852","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B3","","4089","Rplp0","UNKNOWN","1.6401042","Amp","0.9729185","100.0","22.738655","22.738655","22.738655","-","true","0.72670037","true","3.0","16.0","84.12804","-","-","22.954435","0.118352465","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B4","","4087","Rplp0","UNKNOWN","1.6296636","Amp","0.9855797","100.0","23.913187","23.913187","23.913187","-","true","0.72670037","true","3.0","16.0","83.79137","-","-","23.93072","0.0090346895","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B5","","4113","Rplp0","UNKNOWN","1.629525","Amp","0.98183256","100.0","22.759653","22.759653","22.759653","-","true","0.72670037","true","3.0","15.0","83.937904","-","-","22.454971","0.26007435","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B6","","4109","Rplp0","UNKNOWN","1.62451","Amp","0.9467004","100.0","19.529724","19.529724","19.529724","-","true","0.72670037","true","3.0","13.0","83.937904","-","-","19.360779","0.2258991","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B7","","4100","Rplp0","UNKNOWN","1.6212156","Amp","0.9542743","100.0","21.276806","21.276806","21.276806","-","true","0.72670037","true","3.0","15.0","83.825516","-","-","21.098797","0.091138855","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B8","","1740","Rplp0","UNKNOWN","1.6309919","Amp","0.9707952","100.0","22.287066","22.287066","22.287066","-","true","0.72670037","true","3.0","15.0","83.937904","-","-","22.243856","0.029152852","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B9","","4089","Rplp0","UNKNOWN","1.6179181","Amp","0.9783037","100.0","23.146593","23.146593","23.146593","-","true","0.72670037","true","3.0","15.0","83.69933","-","-","22.954435","0.118352465","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B10","","4087","Rplp0","UNKNOWN","1.6329508","Amp","0.9841581","100.0","23.935696","23.935696","23.935696","-","true","0.72670037","true","3.0","17.0","84.036285","-","-","23.93072","0.0090346895","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B11","","4113","Rplp0","UNKNOWN","1.6138144","Amp","0.9834727","100.0","22.667725","22.667725","22.667725","-","true","0.72670037","true","3.0","15.0","83.923965","-","-","22.454971","0.26007435","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B12","","4109","Rplp0","UNKNOWN","1.6170102","Amp","0.9664815","100.0","19.63919","19.63919","19.63919","-","true","0.72670037","true","3.0","13.0","84.036285","-","-","19.360779","0.2258991","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B13","","4100","Rplp0","UNKNOWN","1.6258689","Amp","0.96464914","100.0","21.043758","21.043758","21.043758","-","true","0.72670037","true","3.0","14.0","84.0025","-","-","21.098797","0.091138855","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B14","","1740","Rplp0","UNKNOWN","1.633358","Amp","0.97138774","100.0","22.188349","22.188349","22.188349","-","true","0.72670037","true","3.0","15.0","84.11466","-","-","22.243856","0.029152852","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","B15","","4089","Rplp0","UNKNOWN","1.6304547","Amp","0.9739421","100.0","22.97806","22.97806","22.97806","-","true","0.72670037","true","3.0","16.0","84.0025","-","-","22.954435","0.118352465","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
