# Analysis Version : 1.1
# Analysis Group Name : Default Analysis Group
# Description : Including all applicable data files.
# Created By :bridgeslab@umich.edu
# Last Modified Date : 2024-01-15 04:40:03 PM
# Number of Experiments in Analysis Group : 2
# List of instrument types in the study that are imported : QuantStudio 5 System
# Normalization method : Endogenous Control = Rplp0
# Reference Sample : 1739
# Reference Group : 
# Max CT : 40.0
# Confidence Level : 95.0
# Statistical Test:T-test

"Experiment Name","Barcode","Well","Biological Group Name","Sample Name","Target Name","Task","Amp Score","Amp Status","Cq Conf","Target Efficiency","Cq","Cq (Post IC)","Eq. Cq","Quantity","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline Stop","Tm1","Tm2","Tm3","Cq Mean","Cq SE","Intercept","R-Squared","Slope","Efficiency","Omit","FLAGS","AMPNC","AMPSCORE","BADROX","OFFSCALE","NOAMP","NOISE","SPIKE","NOSIGNAL","NOSAMPLE","EXPFAIL","BLFAIL","THOLDFAIL","CTFAIL","HIGHSD","OUTLIERRG","MAXCT","MPOUTLIER","MTP or TM","LOWROX","PRFLOW","PRFDROP","DRNMIN","CQCONF",
"2024-01-15 Slc16a1.eds","","A1","","1753","Rplp0","UNKNOWN","1.6477382","Amp","0.98306733","100.0","23.98625","23.98625","23.98625","-","true","0.5736619","true","3.0","17.0","84.12804","-","-","25.974493","0.8413434","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A2","","4098","Rplp0","UNKNOWN","1.6172295","Amp","0.94212615","100.0","18.654116","18.654116","18.654116","-","true","0.5736619","true","3.0","11.0","83.903595","88.168045","-","20.546656","0.85739076","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A3","","1746","Rplp0","UNKNOWN","1.6382574","Amp","0.97045135","100.0","22.055874","22.055874","22.055874","-","true","0.5736619","true","3.0","16.0","84.015816","-","-","23.420166","0.5611514","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A4","","4093","Rplp0","UNKNOWN","1.634679","Amp","0.98774636","100.0","23.362473","23.362473","23.362473","-","true","0.5736619","true","3.0","16.0","83.903595","-","-","25.099064","0.7967446","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A5","","4104","Rplp0","UNKNOWN","1.6259807","Amp","0.9876345","100.0","22.72867","22.72867","22.72867","-","true","0.5736619","true","3.0","16.0","83.937904","-","-","23.801962","0.6738864","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A6","","4108","Rplp0","UNKNOWN","1.6298896","Amp","0.979697","100.0","22.323084","22.323084","22.323084","-","true","0.5736619","true","3.0","17.0","83.937904","-","-","23.821985","0.53446376","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A7","","1753","Rplp0","UNKNOWN","1.6282576","Amp","0.98857033","100.0","24.228062","24.228062","24.228062","-","true","0.5736619","true","3.0","17.0","83.825516","-","-","25.974493","0.8413434","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A8","","4098","Rplp0","UNKNOWN","1.6163636","Amp","0.95565677","100.0","18.649326","18.649326","18.649326","-","true","0.5736619","true","3.0","11.0","83.937904","-","-","20.546656","0.85739076","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A9","","1746","Rplp0","UNKNOWN","1.6221511","Amp","0.97601414","100.0","22.302073","22.302073","22.302073","-","true","0.5736619","true","3.0","15.0","83.811646","-","-","23.420166","0.5611514","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2024-01-15 Slc16a1.eds","","A10","","4093","Rplp0","UNKNOWN","1.6327757","Amp","0.9883005","100.0","23.259941","23.259941","23.259941","-","true","0.5736619","true","3.0","15.0","83.923965","-","-","25.099064","0.7967446","-","-","-","-","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
